"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Nov 03 18:44:17 GMT 2025","Mon Nov 03 18:44:30 GMT 2025","13847","chromium","tests/admin.spec.ts","Admin Panel","","","should navigate to LAPEN approvals",""
"failed","Mon Nov 03 18:45:37 GMT 2025","Mon Nov 03 18:45:48 GMT 2025","11647","mobile-chrome","tests/admin.spec.ts","Admin Panel","","","should prevent access without authentication",""
"failed","Mon Nov 03 18:47:06 GMT 2025","Mon Nov 03 18:47:16 GMT 2025","10154","mobile-safari","tests/my-bets.spec.ts","My Bets Page","","","should require authentication",""
"failed","Mon Nov 03 18:45:55 GMT 2025","Mon Nov 03 18:45:55 GMT 2025","284","mobile-chrome","tests/betting.spec.ts","Betting System","","","should navigate to my bets page",""
"failed","Mon Nov 03 18:47:00 GMT 2025","Mon Nov 03 18:47:01 GMT 2025","772","mobile-safari","tests/betting.spec.ts","Betting System","","","should navigate to my bets page",""
"failed","Mon Nov 03 18:45:23 GMT 2025","Mon Nov 03 18:45:36 GMT 2025","12157","mobile-chrome","tests/admin.spec.ts","Admin Panel","","","should navigate to courts management",""
"failed","Mon Nov 03 18:47:03 GMT 2025","Mon Nov 03 18:47:03 GMT 2025","878","mobile-safari","tests/my-bets.spec.ts","My Bets Page","","","should show empty state when no bets",""
"passed","Mon Nov 03 18:47:24 GMT 2025","Mon Nov 03 18:47:28 GMT 2025","3767","mobile-safari","tests/schedule.spec.ts","Schedule Management","","","should display schedule view",""
"failed","Mon Nov 03 18:47:09 GMT 2025","Mon Nov 03 18:47:24 GMT 2025","14966","mobile-safari","tests/navigation.spec.ts","Navigation","","","should navigate to schedule view",""
"failed","Mon Nov 03 18:45:40 GMT 2025","Mon Nov 03 18:45:51 GMT 2025","11381","mobile-chrome","tests/auth.spec.ts","Authentication","","","should login with valid credentials",""
"failed","Mon Nov 03 18:46:24 GMT 2025","Mon Nov 03 18:46:38 GMT 2025","13042","mobile-safari","tests/admin.spec.ts","Admin Panel","","","should navigate to courts management",""
"failed","Mon Nov 03 18:46:43 GMT 2025","Mon Nov 03 18:46:44 GMT 2025","687","mobile-safari","tests/auth.spec.ts","Authentication","","","should show error for duplicate email",""
"passed","Mon Nov 03 18:47:30 GMT 2025","Mon Nov 03 18:47:34 GMT 2025","4573","mobile-safari","tests/mobile.spec.ts","Mobile Responsiveness","","","should display mobile-friendly navigation",""
"failed","Mon Nov 03 18:46:20 GMT 2025","Mon Nov 03 18:46:29 GMT 2025","8322","mobile-chrome","tests/mobile.spec.ts","Mobile Responsiveness","","","should display betting page on mobile",""
"failed","Mon Nov 03 18:46:02 GMT 2025","Mon Nov 03 18:46:14 GMT 2025","12413","mobile-chrome","tests/navigation.spec.ts","Navigation","","","should navigate to login page",""
"failed","Mon Nov 03 18:44:16 GMT 2025","Mon Nov 03 18:44:31 GMT 2025","14251","chromium","tests/admin.spec.ts","Admin Panel","","","should navigate to courts management",""
"failed","Mon Nov 03 18:46:01 GMT 2025","Mon Nov 03 18:46:14 GMT 2025","12883","mobile-chrome","tests/navigation.spec.ts","Navigation","","","should navigate to schedule view",""
"failed","Mon Nov 03 18:46:04 GMT 2025","Mon Nov 03 18:46:17 GMT 2025","12804","mobile-chrome","tests/navigation.spec.ts","Navigation","","","should navigate to signup page",""
"failed","Mon Nov 03 18:44:57 GMT 2025","Mon Nov 03 18:45:11 GMT 2025","13701","chromium","tests/navigation.spec.ts","Navigation","","","should navigate to schedule view",""
"passed","Mon Nov 03 18:45:13 GMT 2025","Mon Nov 03 18:45:19 GMT 2025","6033","chromium","tests/mobile.spec.ts","Mobile Responsiveness","","","should display mobile-friendly navigation",""
"failed","Mon Nov 03 18:44:52 GMT 2025","Mon Nov 03 18:44:52 GMT 2025","448","chromium","tests/my-bets.spec.ts","My Bets Page","","","should display my bets page when authenticated",""
"failed","Mon Nov 03 18:45:42 GMT 2025","Mon Nov 03 18:45:53 GMT 2025","11816","mobile-chrome","tests/auth.spec.ts","Authentication","","","should logout successfully",""
"failed","Mon Nov 03 18:45:03 GMT 2025","Mon Nov 03 18:45:10 GMT 2025","7420","chromium","tests/navigation.spec.ts","Navigation","","","should handle 404 navigation",""
"passed","Mon Nov 03 18:47:33 GMT 2025","Mon Nov 03 18:47:36 GMT 2025","3246","mobile-safari","tests/mobile.spec.ts","Mobile Responsiveness","","","should support mobile viewport (320px minimum)",""
"failed","Mon Nov 03 18:45:58 GMT 2025","Mon Nov 03 18:45:58 GMT 2025","405","mobile-chrome","tests/my-bets.spec.ts","My Bets Page","","","should navigate back to betting dashboard",""
"failed","Mon Nov 03 18:44:32 GMT 2025","Mon Nov 03 18:44:45 GMT 2025","12734","chromium","tests/auth.spec.ts","Authentication","","","should register new user successfully",""
"failed","Mon Nov 03 18:44:33 GMT 2025","Mon Nov 03 18:44:46 GMT 2025","13008","chromium","tests/auth.spec.ts","Authentication","","","should show error for invalid credentials",""
"failed","Mon Nov 03 18:46:45 GMT 2025","Mon Nov 03 18:46:58 GMT 2025","13483","mobile-safari","tests/auth.spec.ts","Authentication","","","should show error for invalid credentials",""
"failed","Mon Nov 03 18:45:57 GMT 2025","Mon Nov 03 18:45:58 GMT 2025","485","mobile-chrome","tests/my-bets.spec.ts","My Bets Page","","","should show empty state when no bets",""
"failed","Mon Nov 03 18:44:33 GMT 2025","Mon Nov 03 18:44:45 GMT 2025","12392","chromium","tests/auth.spec.ts","Authentication","","","should login with valid credentials",""
"passed","Mon Nov 03 18:47:12 GMT 2025","Mon Nov 03 18:47:22 GMT 2025","10093","mobile-safari","tests/navigation.spec.ts","Navigation","","","should display header on all pages",""
"failed","Mon Nov 03 18:44:33 GMT 2025","Mon Nov 03 18:44:46 GMT 2025","12898","chromium","tests/auth.spec.ts","Authentication","","","should logout successfully",""
"failed","Mon Nov 03 18:47:04 GMT 2025","Mon Nov 03 18:47:06 GMT 2025","1527","mobile-safari","tests/my-bets.spec.ts","My Bets Page","","","should navigate back to betting dashboard",""
"failed","Mon Nov 03 18:44:48 GMT 2025","Mon Nov 03 18:44:50 GMT 2025","2148","chromium","tests/betting.spec.ts","Betting System","","","should display betting form when authenticated",""
"failed","Mon Nov 03 18:45:52 GMT 2025","Mon Nov 03 18:45:59 GMT 2025","6753","mobile-chrome","tests/betting.spec.ts","Betting System","","","should show login prompt for unauthenticated users",""
"failed","Mon Nov 03 18:45:12 GMT 2025","Mon Nov 03 18:45:25 GMT 2025","13042","chromium","tests/schedule.spec.ts","Schedule Management","","","should navigate to schedule form",""
"failed","Mon Nov 03 18:45:56 GMT 2025","Mon Nov 03 18:45:56 GMT 2025","485","mobile-chrome","tests/my-bets.spec.ts","My Bets Page","","","should display my bets page when authenticated",""
"passed","Mon Nov 03 18:46:13 GMT 2025","Mon Nov 03 18:46:15 GMT 2025","1972","mobile-chrome","tests/schedule.spec.ts","Schedule Management","","","should display schedule view",""
